Barcode,Product,Category,Lot,Expiry Date,Received Date,Quantity
760-700 N21641  4747,Optiview DAB,Detection Kit,,2027-10-13,2026-03-23,1
760-700 N21641  0844,Optiview DAB,Detection Kit,,2027-10-13,2026-03-23,1
760-700 N21641  0843,Optiview DAB,Detection Kit,,2027-10-13,2026-03-23,1
760-700 N21641  4746,Optiview DAB,Detection Kit,,2027-10-13,2026-03-23,1
790-4324N09722  1307,ER,Antibody,790-4324,2027-06-10,2026-01-29,1
790-4324N09722  1308,ER,Antibody,790-4324,2027-06-10,2026-01-29,1
790-4324N09722  1305,ER,Antibody,790-4324,2027-06-10,2026-01-29,1
790-4324N09722  1306,ER,Antibody,790-4324,2027-06-10,2026-01-29,1
790-2223N17011  1819,PR,Antibody,790-2223,2027-08-07,2025-11-22,1
790-2223N21698  0319,PR,Antibody,790-2223,2027-10-01,2025-12-18,1
790-2223N29286  1900,PR,Antibody,790-2223,2028-01-07,2026-04-27,1
790-2223P00177  1002,PR,Antibody,790-2223,2028-01-28,2026-04-27,1
790-4493N24326  1593,Her 2,Antibody,790-4493,2027-05-24,2026-01-29,1
790-4493N24326  1602,Her 2,Antibody,790-4493,2027-05-24,2026-01-29,1
790-4509N06473  8732,p63,Antibody,790-4509,2027-03-23,2025-09-04,1
790-4509N06473  8731,p63,Antibody,790-4509,2027-03-23,2025-09-04,1
790-4497N24271  0216,E-cadherin ,Antibody,790-4497,2027-12-02,2026-02-23,1
790-4497N24271  0195,E-cadherin ,Antibody,790-4497,2027-12-02,2026-03-30,1
790-4497N30064  2548,E-cadherin ,Antibody,790-4497,2028-01-28,2026-04-16,1
0105700572004653172308031041343136,LCA,Antibody,M0701,2023-08-03,2022-01-06,1
0105700572004653172308031041343136,LCA,Antibody,M0701,2023-08-03,2022-01-06,1
0105700572004653172308031041343136,LCA,Antibody,M0701,2023-08-03,2022-01-06,1
0105700572004653172308031041405417,LCA,Antibody,M0701,2023-08-03,2022-04-04,1
0105700572004653172308031041405417,LCA,Antibody,M0701,2023-08-03,2022-04-04,1
790-4341N19726  0708,CD3,Antibody,790-4341,2027-09-24,2025-12-15,1
790-4341N19726  3200,CD3,Antibody,790-4341,2027-09-24,2026-03-23,1
790-4341N22606  4175,CD3,Antibody,790-4341,2027-10-30,2026-03-23,1
0105700572005278172701051041680088,CD20/L26,Antibody,M0755,2027-01-05,2024-09-20,1
010505533131510617280930106144648,CD10,Antibody,NCL-L-CD10-270,2028-09-30,2025-12-05,1
760-4596V00048100225,CD56,Antibody,760-4596,2027-06-30,2025-05-15,1
0105700572006022172702061041688921,CD68,Antibody,M0876,2027-05-06,2024-09-20,1
9104S2111A,CYCLIN D1,Antibody,RM-9104-S,2023-11-01,2022-06-24,1
MU0710425,AE1/AE3,Antibody,MU071-UC,2027-07-01,2025-07-29,1
MU0710425,AE1/AE3,Antibody,MU071-UC,2027-07-01,2025-07-29,1
010038290349205317270331105143632,Cam5.2 ,Antibody,349205,2027-03-31,2025-07-22,1
0105700571101957172604301011729601,34bE12/K903,Antibody,M0630,2026-04-30,2024-10-08,1
